Symbol,Strategy,TotalReturn_%,rnorm100_%,SharpeDaily,SharpeAnnual,Calmar,MaxDrawdown_%,TimeDD_bars,VWR,SQN,WinRate_%,ProfitFactor,AvgTradePL,trades_total,Sortino
MTUM,DonchianTurtle,0.5740965247623135,0.04746120328588191,0.023751148656704173,0.37703779618659033,0.176077581435407,-0.26954711042128193,1095.0,2.0167051916094314,0.8150138161073366,0.4444444444444444,1.5515005744562553,13.248772018209943,36,0.4788062394243635
MTUM,EmaCross,0.692640273427786,0.05753848327986752,0.028508643410694604,0.4525606840831089,0.2619784450116528,-0.21963060082026295,878.0,2.3552344418542135,1.0902861829418875,0.37777777777777777,1.7660282337914261,14.725534508695398,45,0.5657938324245582
MTUM,GoldenCross,0.7621465545515665,0.06349216765592237,0.025932018662927377,0.41165803425594927,0.1939844731258827,-0.3273054107517166,576.0,2.550791600838508,1.4250985752014118,0.42857142857142855,4.02735809240674,157.03827583671804,7,0.44803463336231114
EEM,AdxBreakout,0.5472700703270609,0.02475390645862729,0.012321338416213029,0.19559518361259676,0.0806116796597004,-0.3070759294822426,3734.0,1.0612683075183826,0.9001634601202194,0.39285714285714285,1.5679514262359422,26.018850417786773,28,0.21572532190666083
EEM,AtrChannelReversion,1.1115560808807325,0.05091926507519807,0.01820562448673268,0.2890053291271356,0.0903356844923054,-0.5636672303018334,1851.0,1.905084108886764,3.8427233366290956,0.88,21.929165130439703,81.56335108415442,25,0.3429396059670216
EEM,AtrTrailingTrend,-2.5246119582408224,-0.10667230961644529,-0.01679379490445223,-0.26659322931722595,-0.11186348220130794,-0.9535936797003987,5162.0,1.022375253092888,-0.9357087496105044,0.30313588850174217,0.6359000857069683,-3.233197423835255,287,-0.1743754664007331
EEM,BollingerBreakout,-0.1102977129958363,-0.004916072054736998,-0.00566329634797313,-0.0899020424255833,-0.009323389925327275,-0.5272837555986303,4506.0,-0.27375960191625487,-0.2269922622474722,0.37373737373737376,0.942296230484177,-1.249986499876154,99,0.003996413269772044
EEM,BuyAndHold,-0.6262912372435149,-0.027595321727314874,0.0056470903120353355,0.08964477958060582,-0.030686164298274313,-0.8992756950358485,5162.0,-0.9363212097739616,0.0,,,,1,0.11310211855567184
EEM,DonchianTurtle,-0.06322274086829853,-0.002820859745770508,0.004661374577123488,0.07399702739272572,-0.004287386070280751,-0.6579439545517276,5162.0,-0.1668612366422709,-0.14008998083857768,0.38571428571428573,0.929818698930605,-2.587385415217554,70,0.0863928511781391
EEM,EmaCross,-0.8162705382315129,-0.03581458373858181,-0.00611244440437934,-0.09703204678017635,-0.05203892390599437,-0.688226831962917,5162.0,-1.0357723808047277,-0.8659416321917422,0.29292929292929293,0.6375511082615355,-6.406705321863022,99,-0.032002574248063485
EEM,GoldenCross,-0.5793413686657235,-0.025553308928755562,-0.0019365271482607229,-0.030741415448537885,-0.036134507741279305,-0.7071719120048783,5162.0,-0.9022885121205897,-0.7756043755994356,0.35,0.5681768465630063,-26.371024724931296,20,0.011509612569757686
TLT,AdxBreakout,-0.2382699504006094,-0.01026380713129116,-0.016921288727428884,-0.2686171310129847,-0.03231503808122744,-0.31761705202054663,3505.0,-0.4902422563903623,-1.1353546580085576,0.3548387096774194,0.6284230048936862,-6.839034058761372,31,-0.0759376868118598
TLT,AtrChannelReversion,0.052897468329492034,0.002293030828372048,-0.0046076756381311056,-0.07314458316327448,0.007377492666700292,-0.31081438260482136,2082.0,0.14246311803092016,5.704567291058836,0.8947368421052632,52.31770569193128,21.46151007945706,19,0.053273418300678256
TLT,AtrTrailingTrend,-0.6996164458498189,-0.029838446013569976,-0.020675873410437844,-0.3282193150984286,-0.05129752819314249,-0.5816741481426548,4206.0,-0.9541166482850566,-1.268933095428279,0.2966666666666667,0.7836195165355273,-1.7392087019919278,300,-0.29715113997725834
TLT,BollingerBreakout,-0.012123612832669236,-0.0005248021802216216,-0.006541832936281679,-0.10384837840759664,-0.002162158143291523,-0.242721459505593,1951.0,-0.03612803378309809,-0.07447068990289751,0.36538461538461536,0.9789036566362711,-0.22243948215163703,104,0.024528797075168286
TLT,BuyAndHold,0.08976409987488734,0.00389425597061137,0.0016172042383995984,0.025672321404029703,0.007728848280070993,-0.5038598028444672,1282.0,0.22572841073600147,0.0,,,,1,0.14603438923170084
TLT,DonchianTurtle,-0.04229895350344403,-0.00182982490488979,-0.0046944537508001065,-0.0745221429954688,-0.0049290073054466125,-0.3712359896216448,1385.0,-0.11529891450012036,-0.1384747555247151,0.3561643835616438,0.9583945110936861,-0.7215951152554501,73,0.03007861324693191
TLT,EmaCross,-0.19343453812454334,-0.00834053916693597,-0.008365397149722826,-0.13279656285873095,-0.033478352245116035,-0.24913230812166756,2916.0,-0.4177177669836953,-0.5450003988379054,0.26956521739130435,0.8602218859216043,-1.6222462781559295,115,-0.03668621513379637
TLT,GoldenCross,0.16541186784251144,0.007187872984022324,0.0013990622019551026,0.022209423930501754,0.029042537928290084,-0.24749465772482232,1282.0,0.3831831876768588,0.4745009208628643,0.3125,1.453231228753706,11.242435803603,16,0.1257525259934224
GLD,AdxBreakout,-0.11929929032712384,-0.005725225149027734,-0.006333295770095208,-0.10053795352253535,-0.013592432798871507,-0.4212068018834026,4400.0,-0.3144368089813412,-0.28789161477506675,0.34210526315789475,0.8756515590434292,-2.848983939168254,38,-0.002879896624686805
GLD,AtrChannelReversion,0.29919674774314975,0.014504020664766968,0.00854822308103047,0.13569883454345374,0.11919479162961988,-0.1216833425896331,233.0,0.6989795316622871,10.338127928587276,1.0,,26.8288435230647,13,0.20773813438618605
